,Date,Temp_H,Temp_avg,Temp_L,Dew_H,Dew_avg,Dew_L,Humidity_H,Humidity_avg,Humidity_L,Pressure_H,Pressure_avg,Pressure_L,Visibility_H,Visibility_avg,Visibility_L,Wind_H,Wind_avg,Gust_Speed_H,Precip_sum,Events,Month
2,1,19,14,11,11,6,0,82,59,22,1021,1019,1018,10,4,1,14,8,- ,0,  ,1.0
3,2,21,16,11,9,6,1,67,53,38,1024,1023,1021,10,6,3,40,13,- ,0,  ,1.0
4,3,20,16,11,12,10,8,88,71,46,1026,1024,1022,10,5,2,19,8,- ,0,  ,1.0
5,4,19,14,10,13,10,7,94,73,44,1022,1019,1016,10,5,2,16,11,- ,0,  ,1.0
6,5,18,14,10,10,7,3,87,61,34,1018,1015,1013,10,8,3,29,13,- ,0,  ,1.0
7,6,18,14,11,7,5,2,67,53,34,1014,1011,1008,10,6,4,52,27,- ,0,  ,1.0
8,7,17,13,11,8,5,2,71,56,37,1017,1013,1007,10,8,3,55,37,- ,0,  ,1.0
9,8,17,13,10,9,6,2,88,62,33,1016,1014,1011,10,7,2,42,27,- ,1.02,rain,1.0
10,9,11,8,6,8,6,3,93,77,42,1022,1017,1014,10,10,6,24,14,- ,7.87,rain,1.0
11,10,13,10,7,6,5,3,82,73,54,1025,1022,1021,10,9,3,35,16,- ,0,  ,1.0
12,11,16,12,9,6,4,3,81,59,36,1026,1024,1023,10,9,4,32,18,- ,0,  ,1.0
13,12,18,14,10,7,4,3,67,52,29,1024,1022,1021,10,7,4,16,10,- ,0,  ,1.0
14,13,19,14,10,10,7,4,77,58,31,1024,1022,1021,10,7,4,16,8,- ,0,  ,1.0
15,14,19,14,9,12,9,6,88,70,33,1025,1024,1023,10,7,2,27,14,- ,0,  ,1.0
16,15,20,14,8,11,3,-4,94,57,21,1025,1022,1020,10,6,6,37,16,- ,0,  ,1.0
17,16,21,14,8,7,2,-3,62,45,21,1021,1018,1016,10,3,1,84,8,- ,0,  ,1.0
18,17,21,17,12,10,4,0,77,44,27,1020,1018,1017,10,3,1,19,11,- ,0,  ,1.0
19,18,19,14,11,14,10,6,100,75,43,1017,1015,1008,10,3,1,16,13,- ,0,Fog,1.0
20,19,20,15,10,8,-1,-10,72,39,7,1020,1017,1015,10,6,2,23,14,- ,0,  ,1.0
21,20,22,17,12,3,-1,-6,47,31,15,1022,1020,1019,10,6,3,23,13,- ,0,  ,1.0
22,21,28,19,11,2,-3,-8,38,23,5,1019,1015,1012,10,6,2,24,11,- ,0,  ,1.0
23,22,24,20,15,12,4,-2,72,36,16,1019,1015,1011,10,5,3,26,14,- ,0,  ,1.0
24,23,19,16,12,11,9,7,82,63,32,1021,1020,1019,10,8,6,14,10,- ,0,  ,1.0
25,24,21,17,12,10,7,2,77,54,32,1019,1015,1011,10,7,4,23,13,- ,0,  ,1.0
26,25,22,19,16,8,5,3,55,40,25,1015,1013,1010,10,5,3,26,14,- ,0,  ,1.0
27,26,22,17,13,6,3,0,55,38,16,1014,1013,1011,10,5,3,16,10,- ,0,  ,1.0
28,27,18,14,11,7,-2,-6,45,30,17,1016,1015,1013,10,7,6,21,11,- ,0,  ,1.0
29,28,17,13,9,4,2,-2,62,46,23,1017,1014,1012,10,7,3,37,11,- ,0,rain,1.0
30,29,16,12,8,9,6,3,76,59,42,1018,1017,1016,10,7,2,24,16,- ,0,  ,1.0
31,30,18,14,11,8,4,-1,76,52,22,1016,1014,1011,10,8,3,34,16,- ,0,  ,1.0
32,31,16,13,10,10,7,5,88,67,45,1015,1012,1010,10,8,6,39,26,- ,0,rain,1.0
33,1,16,13,10,10,8,6,82,69,55,1019,1014,1012,10,8,4,40,24,- ,0,rain,1.0
34,2,18,13,8,8,6,4,87,62,36,1024,1022,1019,10,5,2,188,18,- ,0,  ,2.0
35,3,22,17,11,7,2,-4,62,41,17,1026,1023,1022,10,8,6,26,14,- ,0,  ,2.0
36,4,26,18,9,10,4,-5,58,41,7,1022,1018,1015,10,4,2,16,6,- ,0,  ,2.0
37,5,25,21,16,6,2,-2,48,28,8,1014,1011,1008,10,5,2,29,16,- ,0,  ,2.0
38,6,17,16,14,8,5,1,63,48,25,1017,1013,1009,10,7,4,40,24,- ,0,  ,2.0
39,7,21,17,12,11,8,3,82,58,24,1020,1017,1016,10,5,2,19,11,- ,0,  ,2.0
40,8,22,17,11,10,6,2,77,49,23,1016,1014,1012,10,7,6,23,13,- ,0,  ,2.0
41,9,19,16,13,10,7,2,77,54,26,1049,1019,1014,10,10,10,23,13,- ,0,  ,2.0
